Collection Number,Colloquial Name,Family,Genus,Species,Plant Kingdom,Descriptor,Plant Part,Overview Photo,Multicell,Bilobate,Polylobate,Rondel,Crenate,Trapezoid,Cross,Saddle,Acute Bulbosus,Blocky,Bulliform Flabellate,Elongate Entire,Elongate Sinuate,Elongate Dentate,Elongate Dendritic,Spheroid Psilate,Spheroid Echinate,Spheroid Ornate,Papillate,Tracheary,Tracheary Pitted,Tracheary Bordered,Stomata,Cork,Silica Aggregate,Sheet,Bulliform Fusiform ,Bulliform Crenate,Blocky with Ridge,Other,Project Herbarium Specimen,Link to RBG Kew Photo,Project,Author
M001,Einkorn,Poaceae,Triticum ,monococcum,Monocotyledon,Crop,Root,,"M001.2, M001.3, M001.4, M001.5",,,,,,,,,M001.1,,"M001.2, M001.3, M001.4, M001.7",,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000979052,MRes ,Sigrid Osborne
M002,,,,,,,Leaf,,"M002.1, M002.9, M002.10",,,,M002.3.1,,,,M002.3.1,M002.9,,"M002.5, M002.9","M002.4, M002.8",,,,,,,,,,,"M002.1, M002.10",,,,,,,,,MRes ,Sigrid Osborne
M003,,,,,,,Collar ,M003.1,"M003.7, M003.9",,,M003.3,,,,,"M003.4, M003.5, M003.7",,,,,M003.9,,,,,,,,,,"M003.2, M003.7, M003.9",,,,,,,,,MRes ,Sigrid Osborne
M004,,,,,,,Internode,M004.11,"M004.2, M004.4, M004.7, M004.8, M004.9.2, M004.10.1",,,"M004.7, M008",,,,,"M004.7, M008",,,"M004.2, M004.9, M004.11",,M004.9,,,,,,,,,,"M004.8, M004.9",,,,,,,,,MRes ,Sigrid Osborne
M005,,,,,,,Node ,"M005.1, M005.4, M005.5","M005.1, M005.2, M005.4, M005.5, M005.6",,,M005.3,,,,,M005.6,,,M005.4,,"M005.2, M005.5",,,,,,,,,,"M005.1, M005.2, M004, M004.5",,,,,,,,,MRes ,Sigrid Osborne
M006,,,,,,,Awn,"M006.1, M006.2",M006.2,,,,,,,,"M006.1, M006.2, M006.3, M006.4",M006.5,,"M006.2, M006.4",,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M007,,,,,,,Spikelet,,"M007.1, M007.2, M007.9",,,M007.8,,,,,"M007.4, M007.9, M007.10",M007.8,,,,,"M007.1, M007.2, M007.6, M007.8, M007.9",,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M008,Emmer Wheat,Poaceae,Triticum , dicoccon,Monocotyledon,Crop,Root,,"M008.3, M008.4, M008.5, M008.8",,,,,,,,,,,"M008.1, M008.2, M008.3, M008.4, M008.5, M008.6, M008.8",,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M009,,,,,,,Leaf,M009.1,"M009.3, M009.4, M009.9",,,"M009.3, M009.4",,,,,M009.7,"M009.1, M009.5",,M009.4,"M009.1, M009.3, M009.4, M009.9",,,,,,,,,,,"M009.1, M009.2, M009.3, M009.4, M009.9",,,,,,,,,MRes ,Sigrid Osborne
M010,,,,,,,Collar ,"M010.6, M010.7","M010.3.2, M010.5.1, M010.6",,,"M010.1, M010.4.1, M010.5.1",M010.7,,,,"M010.1, M010.4.1, M010.5.1, M010.7",,,M010.5.1,"M010.3.2, M010.4.1, M010.5.1",,,,,,,,,,M010.5.1,M010.3.2,,,,,,,,,MRes ,Sigrid Osborne
